CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),cluster
1,1,19,15,39,3
2,1,21,15,81,4
3,0,20,16,6,3
4,0,23,16,77,4
5,0,31,17,40,3
6,0,22,17,76,4
7,0,35,18,6,3
8,0,23,18,94,4
9,1,64,19,3,3
10,0,30,19,72,4
11,1,67,19,14,3
12,0,35,19,99,4
13,0,58,20,15,3
14,0,24,20,77,4
15,1,37,20,13,3
16,1,22,20,79,4
17,0,35,21,35,3
18,1,20,21,66,4
19,1,52,23,29,3
20,0,35,23,98,4
21,1,35,24,35,3
22,1,25,24,73,4
23,0,46,25,5,3
24,1,31,25,73,4
25,0,54,28,14,3
26,1,29,28,82,4
27,0,45,28,32,3
28,1,35,28,61,4
29,0,40,29,31,3
30,0,23,29,87,4
31,1,60,30,4,3
32,0,21,30,73,4
33,1,53,33,4,3
34,1,18,33,92,4
35,0,49,33,14,3
36,0,21,33,81,4
37,0,42,34,17,3
38,0,30,34,73,4
39,0,36,37,26,3
40,0,20,37,75,4
41,0,65,38,35,3
42,1,24,38,92,4
43,1,48,39,36,3
44,0,31,39,61,2
45,0,49,39,28,3
46,0,24,39,65,2
47,0,50,40,55,2
48,0,27,40,47,2
49,0,29,40,42,2
50,0,31,40,42,2
51,0,49,42,52,2
52,1,33,42,60,2
53,0,31,43,54,2
54,1,59,43,60,2
55,0,50,43,45,2
56,1,47,43,41,2
57,0,51,44,50,2
58,1,69,44,46,2
59,0,27,46,51,2
60,1,53,46,46,2
61,1,70,46,56,2
62,1,19,46,55,2
63,0,67,47,52,2
64,0,54,47,59,2
65,1,63,48,51,2
66,1,18,48,59,2
67,0,43,48,50,2
68,0,68,48,48,2
69,1,19,48,59,2
70,0,32,48,47,2
71,1,70,49,55,2
72,0,47,49,42,2
73,0,60,50,49,2
74,0,60,50,56,2
75,1,59,54,47,2
76,1,26,54,54,2
77,0,45,54,53,2
78,1,40,54,48,2
79,0,23,54,52,2
80,0,49,54,42,2
81,1,57,54,51,2
82,1,38,54,55,2
83,1,67,54,41,2
84,0,46,54,44,2
85,0,21,54,57,2
86,1,48,54,46,2
87,0,55,57,58,2
88,0,22,57,55,2
89,0,34,58,60,2
90,0,50,58,46,2
91,0,68,59,55,2
92,1,18,59,41,2
93,1,48,60,49,2
94,0,40,60,40,2
95,0,32,60,42,2
96,1,24,60,52,2
97,0,47,60,47,2
98,0,27,60,50,2
99,1,48,61,42,2
100,1,20,61,49,2
101,0,23,62,41,2
102,0,49,62,48,2
103,1,67,62,59,2
104,1,26,62,55,2
105,1,49,62,56,2
106,0,21,62,42,2
107,0,66,63,50,2
108,1,54,63,46,2
109,1,68,63,43,2
110,1,66,63,48,2
111,1,65,63,52,2
112,0,19,63,54,2
113,0,38,64,42,2
114,1,19,64,46,2
115,0,18,65,48,2
116,0,19,65,50,2
117,0,63,65,43,2
118,0,49,65,59,2
119,0,51,67,43,2
120,0,50,67,57,2
121,1,27,67,56,2
122,0,38,67,40,2
123,0,40,69,58,2
124,1,39,69,91,1
125,0,23,70,29,0
126,0,31,70,77,1
127,1,43,71,35,2
128,1,40,71,95,1
129,1,59,71,11,0
130,1,38,71,75,1
131,1,47,71,9,0
132,1,39,71,75,1
133,0,25,72,34,0
134,0,31,72,71,1
135,1,20,73,5,0
136,0,29,73,88,1
137,0,44,73,7,0
138,1,32,73,73,1
139,1,19,74,10,0
140,0,35,74,72,1
141,0,57,75,5,0
142,1,32,75,93,1
143,0,28,76,40,0
144,0,32,76,87,1
145,1,25,77,12,0
146,1,28,77,97,1
147,1,48,77,36,0
148,0,32,77,74,1
149,0,34,78,22,0
150,1,34,78,90,1
151,1,43,78,17,0
152,1,39,78,88,1
153,0,44,78,20,0
154,0,38,78,76,1
155,0,47,78,16,0
156,0,27,78,89,1
157,1,37,78,1,0
158,0,30,78,78,1
159,1,34,78,1,0
160,0,30,78,73,1
161,0,56,79,35,0
162,0,29,79,83,1
163,1,19,81,5,0
164,0,31,81,93,1
165,1,50,85,26,0
166,0,36,85,75,1
167,1,42,86,20,0
168,0,33,86,95,1
169,0,36,87,27,0
170,1,32,87,63,1
171,1,40,87,13,0
172,1,28,87,75,1
173,1,36,87,10,0
174,1,36,87,92,1
175,0,52,88,13,0
176,0,30,88,86,1
177,1,58,88,15,0
178,1,27,88,69,1
179,1,59,93,14,0
180,1,35,93,90,1
181,0,37,97,32,0
182,0,32,97,86,1
183,1,46,98,15,0
184,0,29,98,88,1
185,0,41,99,39,0
186,1,30,99,97,1
187,0,54,101,24,0
188,1,28,101,68,1
189,0,41,103,17,0
190,0,36,103,85,1
191,0,34,103,23,0
192,0,32,103,69,1
193,1,33,113,8,0
194,0,38,113,91,1
195,0,47,120,16,0
196,0,35,120,79,1
197,0,45,126,28,0
198,1,32,126,74,1
199,1,32,137,18,0
200,1,30,137,83,1
